Daily Dashboard
"October 1, 2024 - October 26, 2025"
Day,Campaign,Campaign status,Currency code,Cost,Avg. CPM,CTR
2024-10-24,Brand-Search,Eligible,INR,5040.15,28637.24,33.52%
2024-10-24,Pmax_Rings,Paused,INR,5684.28,107.92,0.70%
2024-10-24,Pmax_Earrings,Paused,INR,1349.81,130.56,1.67%
2024-10-24,BOF-YT-ALL PRODUCTS,Removed,INR,577.28,28.42,6.00%
2024-10-24,Pmax_necklaces,Paused,INR,2145.11,150.22,1.17%
2024-10-24,DISPLAY-Remarketing,Paused,INR,494.45,50.66,1.20%
2024-10-24,TOF - Display New Customer,Paused,INR,286.44,96.87,2.16%
2024-10-25,Brand-Search,Eligible,INR,7658.37,41174.02,34.95%
2024-10-25,Pmax_Rings,Paused,INR,4496.91,133.86,0.68%
2024-10-25,Pmax_Earrings,Paused,INR,1310.07,145.69,1.39%
2024-10-25,BOF-YT-ALL PRODUCTS,Removed,INR,572.20,25.64,5.53%
2024-10-25,Pmax_necklaces,Paused,INR,1616.72,107.10,0.91%
2024-10-25,DISPLAY-Remarketing,Paused,INR,451.56,53.26,1.19%
2024-10-25,TOF - Display New Customer,Paused,INR,284.66,50.77,1.61%
2024-10-26,Brand-Search,Eligible,INR,1421.99,10085.07,26.24%
2024-10-26,Pmax_Rings,Paused,INR,5061.35,146.54,0.81%
2024-10-26,Pmax_Earrings,Paused,INR,2158.98,220.26,1.54%
2024-10-26,BOF-YT-ALL PRODUCTS,Removed,INR,565.72,21.30,5.30%
2024-10-26,Pmax_necklaces,Paused,INR,1926.61,123.14,0.93%
2024-10-26,DISPLAY-Remarketing,Paused,INR,481.85,46.61,1.55%
2024-10-26,TOF - Display New Customer,Paused,INR,310.85,139.65,2.11%
2024-10-27,Brand-Search,Eligible,INR,2312.79,14016.89,32.12%
2024-10-27,Pmax_Rings,Paused,INR,3953.76,126.25,0.88%
2024-10-27,Pmax_Earrings,Paused,INR,1699.65,174.59,1.53%
2024-10-27,BOF-YT-ALL PRODUCTS,Removed,INR,559.27,27.10,5.43%
2024-10-27,Pmax_necklaces,Paused,INR,1747.34,100.79,0.96%
2024-10-27,DISPLAY-Remarketing,Paused,INR,471.00,47.62,1.61%
2024-10-27,TOF - Display New Customer,Paused,INR,261.30,76.05,2.79%
2024-10-28,Brand-Search,Eligible,INR,2202.19,13427.96,26.83%
2024-10-28,Pmax_Rings,Paused,INR,3719.21,92.31,1.01%
2024-10-28,Pmax_Earrings,Paused,INR,3817.43,342.03,1.38%
2024-10-28,BOF-YT-ALL PRODUCTS,Removed,INR,555.27,26.37,6.03%
2024-10-28,Pmax_necklaces,Paused,INR,2139.33,134.30,1.10%
2024-10-28,DISPLAY-Remarketing,Paused,INR,316.68,18.88,0.92%
2024-10-28,TOF - Display New Customer,Paused,INR,268.59,22.70,1.04%
2024-10-29,Brand-Search,Eligible,INR,1594.10,9006.24,40.11%
2024-10-29,Pmax_Rings,Paused,INR,3839.26,98.94,1.11%
2024-10-29,Pmax_Earrings,Paused,INR,3144.70,291.39,1.33%
2024-10-29,BOF-YT-ALL PRODUCTS,Removed,INR,545.50,19.24,4.86%
2024-10-29,Pmax_necklaces,Paused,INR,1922.31,119.90,1.09%
2024-10-29,DISPLAY-Remarketing,Paused,INR,586.28,44.47,1.27%
